Variables con 70% o mas de completitud (403):

Variable                      Completitud    Tipo
------------------------------------------------------------
Caja                                    100.00% categorical
Número                                  100.00% numeric
AlcoholAct                               98.50% boolean
AlcoholPrev                              98.50% boolean
AntArtrosi                               98.50% boolean
AntCOVID                                 98.50% categorical
AntCancer                                98.50% boolean
AntCardiopati                            98.50% boolean
AntDemenc                                98.50% boolean
AntEAP                                   98.50% boolean
AntEnfERC                                98.50% boolean
AntEnfHepat                              98.50% boolean
AntEnfPulm                               98.50% boolean
AntHTA                                   98.50% boolean
AntHiperti                               98.50% boolean
AntHipoti                                98.50% boolean
AntOsteopo                               98.50% boolean
Autoinmunidad                            98.50% boolean
COVID                                    98.50% boolean
Cancer                                   98.50% boolean
Cardiovascular                           98.50% boolean
CatCDR                                   98.50% categorical
CatComCompDía                            98.50% categorical
CatFrutVerdDía                           98.50% boolean
CatHuevLegSem                            98.50% boolean
CatIndepeDomi                            98.50% boolean
CatLactUnDía                             98.50% boolean
CatLiquiDiar                             98.50% categorical
CatMMSE                                  98.50% categorical
CatMOCA                                  98.50% categorical
CatMovilidad                             98.50% categorical
CatMás3MedDia                            98.50% boolean
CatProbNeuroPsiq                         98.50% categorical
CatProteDía                              98.50% boolean
CatUlcerPresión                          98.50% boolean
CatÍndicProtei                           98.50% categorical
Compras                                  98.50% boolean
CuidoCasa                                98.50% boolean
DM                                       98.50% boolean
Departamentoresi                         98.50% categorical
Diarrea                                  98.50% categorical
DientInf                                 98.50% categorical
DifCruzar                                98.50% categorical
DifLevCama                               98.50% categorical
DifSubEscalon                            98.50% categorical
Dislipidemia                             98.50% boolean
Dolor                                    98.50% categorical
Enfneuro                                 98.50% categorical
Enfosea                                  98.50% boolean
Enfpulmonar                              98.50% boolean
Enfrenal                                 98.50% boolean
Enftiroidea                              98.50% boolean
Estreñimi                                98.50% categorical
FinSarcopenia                            98.50% boolean
HTA                                      98.50% boolean
HTA en consulta                          98.50% boolean
Infpulmonar                              98.50% boolean
LavaRop                                  98.50% boolean
Obesidad                                 98.50% boolean
PAD                                      98.50% numeric
PAS                                      98.50% numeric
Pbraquial                                98.50% numeric
Pdeltoideo                               98.50% numeric
PrepComid                                98.50% boolean
ProteDenta                               98.50% boolean
PunComCompDía                            98.50% categorical
PunFrutVerdDía                           98.50% boolean
PunHuevLegSem                            98.50% boolean
PunIndepeDomi                            98.50% boolean
PunLactUnDía                             98.50% boolean
PunLiquiDiar                             98.50% categorical
PunMovilidad                             98.50% categorical
PunMás3MedDia                            98.50% boolean
PunProbNeuroPsiq                         98.50% categorical
PunProteDía                              98.50% boolean
PunUlcerPresión                          98.50% boolean
PuntLyB                                  98.50% categorical
PunÍndicProtei                           98.50% categorical
RespMedica                               98.50% boolean
Sexo                                     98.50% boolean
TabacoAct                                98.50% boolean
